nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  11/22/2025 6:31:22 PM ::1 HEAD /search/index.html
 HTTP  11/22/2025 6:31:22 PM ::1 Returned 301 in 995 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /search/index.html
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 301 in 3 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /search/index
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 301 in 2 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /search
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 8 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /assets/data/rk7a9nq3.js
 HTTP  11/22/2025 6:31:51 PM ::1 GET /components.js?v=20250917-2
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 4 ms
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /config.js
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /app.js?v=20250917-2
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/abbeyleix.png
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/bandon-tennis-club.png
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/galway.jpg
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/site-logo.svg?v=20250917-2
 HTTP  11/22/2025 6:31:51 PM ::1 GET /assets/data/rk7a9nq3.b64.txt
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/parks_tennis.png
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 157 ms
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 155 ms
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 24 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/ballycannon.jpg
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:31:51 PM ::1 GET /images/logos/galway.jpg
 HTTP  11/22/2025 6:31:51 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:31:52 PM ::1 GET /tennisconnectx.ico
 HTTP  11/22/2025 6:31:52 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:31:53 PM ::1 GET /sw.js
 HTTP  11/22/2025 6:31:53 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:31:54 PM ::1 GET /
 HTTP  11/22/2025 6:31:54 PM ::1 GET /images/favicon_fallback.png
 HTTP  11/22/2025 6:31:54 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:31:54 PM ::1 Returned 404 in 3 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /search
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /assets/data/rk7a9nq3.js
